									Percentile	Global Written	Global Read	Temp Written	Temp Read
									20	43	28	0	0
									50	"26,434"	"12,310"	"3,621"	"5,270"
									90	"5,189,312"	"3,664,867"	"2,335,200"	"3,109,876"
									99	"109,872,552"	"104,301,900"	"48,835,649"	"57,291,349"
									99.9	"723,635,551"	"719,054,918"	"272,325,283"	"355,459,219"
									99.99	"2,870,992,194"	"2,870,710,332"	"2,095,380,984"	"2,121,207,419"
													
													
									Max	"4,744,884,684"	"4,743,848,299"	" 2,876,545,372 "	" 2,578,337,402 "
													
													
													
													
													
													
VC	Job	Total Read	Total Temp Read	Total Global Read	Total Written	Total Temp Written	Total Global Written						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-05_Job	2.719028	1.776433	0.942595	2.719028	1.776433	0.942595						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-06_Job	1.62248	1.048311	0.574169	1.62248	1.048311	0.574169						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-07_Job	1.396462	0.91159	0.484872	1.396462	0.91159	0.484872						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-08_Job	1.229715	0.802369	0.427346	1.229715	0.802369	0.427346						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-09_Job	1.315973	0.860814	0.455159	1.315973	0.860814	0.455159						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-10_Job	1.666724	1.088097	0.578627	1.666724	1.088097	0.578627						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-11_Job	1.17912	0.766295	0.412825	1.17912	0.766295	0.412825						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-12_Job	1.241858	0.812266	0.429592	1.241858	0.812266	0.429592						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-13_Job	1.215943	0.794974	0.420969	1.215943	0.794974	0.420969						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-14_Job	1.359134	0.889087	0.470047	1.359134	0.889087	0.470047						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-15_Job	0.60837	0.397647	0.210723	0.60837	0.397647	0.210723						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-16_Job	0.519957	0.3403	0.179657	0.519957	0.3403	0.179657						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-17_Job	1.452297	0.948421	0.503876	1.452297	0.948421	0.503876						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-18_Job	0.22565	0.14758	0.07807	0.22565	0.14758	0.07807						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-19_Job	0.015187	0.006196	0.008991	0.015187	0.006196	0.008991						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-20_Job	0.020876	0.00894	0.011936	0.020876	0.00894	0.011936						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-21_Job	0	0	0	0	0	0						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-22_Job	0	0	0	0	0	0						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-23_Job	0.027039	0.010881	0.016158	0.027039	0.010881	0.016158						
adcenter.bicore	AdMetrix_Agg_-_2014-02-14-00_Job	0	0	0	0	0	0						
adcenter.bicore	AdMetrix_Agg_-_2014-02-14-01_Job	0.004699	0.00206	0.002639	0.004699	0.00206	0.002639						
